, text/csv, text/html, text/plain,Admin1ISO,Admin1Name,Admin2Name,AgeRange,CityName,ConditionName,ConditionSNOMED,CountValue,CountryCode,CountryName,DiagnosisCertainty,Fatalities,No results,PartOfCumulativeCountSeries,PathogenName,PathogenTaxonID,PeriodEndDate,PeriodStartDate,PlaceOfAcquisition,SourceName,Subpopulation,text/xml
0,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,1.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1889-10-05,1889-09-29,,US Nationally Notifiable Disease Surveillance System,None specified,
1,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,1.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-09-11,1897-09-05,,US Nationally Notifiable Disease Surveillance System,None specified,
2,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,3.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-09-18,1897-09-12,,US Nationally Notifiable Disease Surveillance System,None specified,
3,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,14.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-09-25,1897-09-19,,US Nationally Notifiable Disease Surveillance System,None specified,
4,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,17.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-10-02,1897-09-26,,US Nationally Notifiable Disease Surveillance System,None specified,
5,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,22.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-10-09,1897-10-03,,US Nationally Notifiable Disease Surveillance System,None specified,
6,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,34.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-10-16,1897-10-10,,US Nationally Notifiable Disease Surveillance System,None specified,
7,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,35.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-10-23,1897-10-17,,US Nationally Notifiable Disease Surveillance System,None specified,
8,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,54.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-10-30,1897-10-24,,US Nationally Notifiable Disease Surveillance System,None specified,
9,,,,US-LA,LOUISIANA,ORLEANS PARISH,0-130,NEW ORLEANS,Yellow fever,16541001.0,51.0,US,UNITED STATES OF AMERICA,,1.0,,0.0,Yellow fever virus,11089.0,1897-11-06,1897-10-31,,US Nationally Notifiable Disease Surveillance System,None specified,
